Model,tn,tp,fp,fn,Accuracy,Precision,Recall,F1
RF,179,212,2,3,98.73737373737373,99.06542056074767,98.6046511627907,98.83449883449883
LR,176,199,5,16,94.6969696969697,97.54901960784314,92.55813953488372,94.98806682577566
KNN,178,211,3,4,98.23232323232324,98.5981308411215,98.13953488372093,98.36829836829835
SVC,179,205,2,10,96.96969696969697,99.03381642512076,95.34883720930233,97.1563981042654
