Model,tn,tp,fp,fn,Accuracy,Precision,Recall,F1
RF,154,140,27,75,74.24242424242425,83.8323353293413,65.11627906976744,73.29842931937172
LR,154,146,27,69,75.75757575757575,84.39306358381504,67.90697674418604,75.25773195876288
KNN,129,172,52,43,76.01010101010101,76.78571428571429,80.0,78.35990888382688
SVC,154,146,27,69,75.75757575757575,84.39306358381504,67.90697674418604,75.25773195876288
