Model,tn,tp,fp,fn,Accuracy,Precision,Recall,F1
RF,179,211,2,4,98.48484848484848,99.06103286384976,98.13953488372093,98.59813084112149
LR,177,192,4,23,93.18181818181817,97.95918367346938,89.30232558139535,93.43065693430657
KNN,178,209,3,6,97.72727272727273,98.58490566037736,97.20930232558139,97.89227166276346
SVC,178,207,3,8,97.22222222222221,98.57142857142858,96.27906976744185,97.41176470588235
RF,159,184,22,31,86.61616161616162,89.32038834951457,85.5813953488372,87.41092636579572
LR,152,163,29,52,79.54545454545455,84.89583333333334,75.81395348837209,80.0982800982801
KNN,146,183,35,32,83.08080808080808,83.94495412844036,85.11627906976744,84.52655889145497
SVC,158,150,23,65,77.77777777777779,86.70520231213872,69.76744186046511,77.31958762886599
